names,coef
(Intercept),-0.970918240377352
age,0.411186815823344
workclassLocal-gov,-0.640178731190031
workclassPrivate,-0.535415414314818
workclassSelf-emp-inc,-0.0773271685200998
workclassSelf-emp-not-inc,-1.09051523582601
workclassState-gov,-0.805622809165683
workclassWithout-pay,-1.09764855829827
educationBachelors,1.04974244268012
educationCommunity,0.605387011516474
educationHighGrad,0.373607649416008
educationMaster,1.40625003606797
educationPhD,1.5196961897316
educational.num,0.56908476618311
marital.statusNot_married,-2.50345876894192
marital.statusSeparated,-2.16177067589037
marital.statusWidow,-2.22707311728197
raceAsian-Pac-Islander,0.0835851122555696
raceBlack,0.0718775788174656
raceOther,0.0137036459423995
raceWhite,0.348299130374862
genderMale,0.0859568066501173
hours.per.week,0.419420024847303
